Wall time,Step,Value
1611085563.8586097,582900,-278.08209228515625
1611085631.0986073,584600,-277.5411682128906
1611085642.597607,584900,-274.1722717285156
1611085669.7886076,585600,-263.3995056152344
1611085779.404609,588300,-272.70550537109375
1611085786.6686087,588500,-270.8747253417969
1611085812.5856075,589200,-269.9881591796875
1611085886.1266081,591000,-273.05047607421875
1611085920.6026082,591900,-275.52142333984375
1611085958.3726072,592800,-287.24737548828125
1611085996.5366087,593800,-277.94781494140625
1611086041.4906075,594900,-281.49188232421875
1611086056.4866111,595300,-286.095947265625
1611086060.0776048,595400,-283.79010009765625
1611086136.3776062,597300,-277.6036376953125
1611086154.9396057,597800,-275.5066223144531
1611086162.7356074,598000,-282.82489013671875
1611086180.464606,598400,-276.32110595703125
1611086214.6696093,599300,-278.6618347167969
1611086287.7116086,601100,-278.6604309082031
1611086367.3246126,603100,-287.99530029296875
1611086387.774611,603600,-289.4192199707031
1611086424.3056087,604500,-289.08917236328125
1611086447.2416067,605100,-270.05816650390625
1611086451.164608,605200,-285.01104736328125
1611086467.2766066,605600,-287.727294921875
1611086478.3046103,605900,-284.36669921875
1611086566.8366063,608100,-278.7491760253906
1611086635.4356158,609900,-276.0828857421875
1611086652.959606,610300,-278.8802490234375
1611086671.3036094,610800,-279.195068359375
1611086734.6456141,612400,-280.77099609375
1611086742.504609,612600,-278.28790283203125
1611086781.30861,613600,-290.1842956542969
1611086805.2196083,614200,-284.3746337890625
1611086812.680614,614400,-280.59686279296875
1611086835.8056078,615000,-285.8364562988281
1611086843.707607,615200,-273.0846862792969
1611086852.3306093,615400,-287.2541198730469
1611086906.306863,616600,-285.2757568359375
1611086915.454865,616800,-286.77252197265625
1611086923.839866,617000,-292.3680114746094
1611087042.4951904,619300,-278.1531677246094
1611087085.088191,620200,-296.42791748046875
1611087100.4610558,620500,-287.9449462890625
1611087174.534176,622100,-273.55023193359375
1611087218.267375,623100,-284.0802001953125
1611087222.5093753,623200,-278.2738342285156
1611087231.3513713,623400,-283.9853515625
1611087256.860394,624000,-281.42840576171875
1611087314.1273952,625300,-282.82891845703125
1611087335.2363942,625800,-280.3629455566406
1611087368.6913586,626500,-291.90283203125
1611087393.1323528,627100,-277.8212585449219
1611087451.1763797,628400,-293.736328125
1611087587.6049154,631000,-290.99139404296875
1611087698.5795102,633300,-285.818603515625
1611087718.413507,633700,-291.6040954589844
1611087723.2145114,633800,-285.35504150390625
1611087759.9725108,634500,-283.3675842285156
1611087851.312387,636200,-276.798095703125
1611087898.5604198,637300,-283.201904296875
1611087954.6463888,638400,-283.78900146484375
1611087987.5231247,639100,-286.0415954589844
1611088016.0723822,639700,-292.7738037109375
1611088149.7317653,642100,-300.084716796875
1611088408.3023458,647600,-294.32989501953125
1611088425.9103544,648000,-293.8548889160156
1611088495.9125164,649300,-287.9909362792969
1611088548.1436462,650400,-293.33148193359375
1611088565.7366436,650800,-274.00091552734375
1611088602.9916453,651600,-286.732421875
1611088607.5926461,651700,-288.994873046875
1611088627.1086497,652100,-291.7210998535156
1611088680.5071726,653100,-289.0284118652344
1611088730.4521987,654100,-289.597412109375
1611088734.4691942,654200,-294.13787841796875
1611088738.7912014,654300,-284.129638671875
1611088773.4021995,655100,-291.0452880859375
1611088866.472199,657100,-287.07720947265625
1611088976.233219,659500,-293.3385314941406
1611089014.626217,660200,-295.7781982421875
1611089028.127219,660500,-288.4576110839844
1611089084.440378,661500,-292.9725341796875
1611089129.1343777,662400,-291.62939453125
1611089141.9383721,662700,-281.38751220703125
1611089185.2988987,663700,-294.6542663574219
1611089210.587899,664200,-290.1046142578125
1611089384.802897,667800,-293.48541259765625
1611089428.8311124,668700,-289.810302734375
1611089437.7591178,668900,-296.9745788574219
1611089457.5424101,669300,-300.32421875
